dataset,model,precision,recall,f1,tp,fp,fn,tn,false_alarm_rate,fit_time_ms,infer_time_ms,details
stress,zscore,0.6666666666666666,0.1,0.1739130434782609,4,2,36,958,0.0020833333333333333,0.000200001522898674,9.727700031362474,"{'window': 50, 'threshold': 3.0}"
stress,isolation_forest,0.5,0.25,0.3333333333333333,10,10,30,950,0.010416666666666666,142.3369999974966,14.210499939508736,"{'contamination': 0.02, 'n_estimators': 200}"
stress,oneclass_svm,0.09395973154362416,0.35,0.14814814814814817,14,135,26,825,0.140625,3.6905999295413494,3.7267999723553658,"{'nu': 0.02, 'gamma': 'scale'}"
